_id,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
283,254,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE UNI-BH,AVE,PROFESSOR MARIO WERNECK,1685,,BURITIS,POINT (608314.425676227 7791423.37935044)
284,802,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA CANTINHO DA PAZ,RUA,NILO APARECIDA PINTO,373,34585718,PLANALTO,POINT (609394.200767843 7806983.83563334)
285,462,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM EUROPA,RUA,EDIMBURGO,140,"32771812, 32771813",EUROPA,POINT (608187.035627698 7810271.44288174)
286,140,CENTRO DE REFERENCIA DE IMUNOBIOLOGICOS ESPECIAIS,CRIE,CENTRO DE REFERENCIA IMUNOBIOLOGICO ESPECIAL (CRIE CENTRO SUL),RUA,DOMINGOS VIEIRA,488,,SANTA EFIGÊNIA,POINT (612517.184469376 7796785.6696409)
287,149,UNIDADE DE PRONTO ATENDIMENTO,UPA,UNIDADE DE PRONTO ATENDIMENTO CENTRO SUL,RUA,DOMINGOS VIEIRA,488,,SANTA EFIGÊNIA,POINT (612517.217072063 7796785.55789454)
288,316,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SERRA VERDE,PCA,FABRICIO SOARES DA SILVA,10,"32775541, 32775507",SERRA VERDE,POINT (609599.995560084 7810819.90623959)
289,623,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE NOVO OURO PRETO,RUA,GERALDINA CANDIDA DE JESUS,92,,OURO PRETO,POINT (605944.98231778 7801864.37411622)
290,795,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA SERENA,RUA,JUSCELINO BARBOSA,122,33721321,CALAFATE,POINT (606781.754659823 7796346.48235285)
291,325,UNIDADE DE PRONTO ATENDIMENTO,UPA,UNIDADE DE PRONTO ATENDIMENTO BARREIRO,RUA,AURELIO LOPES,80,,DIAMANTE,POINT (602503.77726457 7788669.67965082)
292,411,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE VILA PINHO,AVE,PERIMETRAL,800,,DISTRITO INDUSTRIAL DO JATOBÁ,POINT (601779.165756989 7788107.46456405)
293,514,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE RIBEIRO DE ABREU,RUA,DIANOPOLIS,100,,RIBEIRO DE ABREU,POINT (615057.514324322 7806157.52025877)
294,237,CENTRO DE SAUDE,CS,CENTRO DE SAUDE RIBEIRO DE ABREU,RUA,DIANOPOLIS,180,"32776660, 32776661, 32469502",RIBEIRO DE ABREU,POINT (615065.776660307 7806087.46451841)
