ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
1982065,CRECHE CASINHA DOS ANJOS,Creches Conveniadas,31290041,RUA,JOSEFINA GUIMARAES VIEIRA,2545,,Jardim Felicidade,NORTE,POINT (612653.685795161 7807390.43930167)
1983138,EMEI JULIANA,EMEIS,31357790,RUA,DA GALERIA,1130,,Juliana,NORTE,POINT (610741.870303452 7808416.88037257)
1981800,CENTRO INFANTIL CAMINHO DO CÉU,Creches Conveniadas,31289876,RUA,ALAIR PEREIRA DA SILVA,205,,Conjunto Taquaril,LESTE,POINT (617159.73460667 7797026.23890462)
1983177,EMEI GOIÂNIA,EMEIS,31361810,RUA,JOSE ARCANJO SANTIAGO,300,,Goiânia,NORDESTE,POINT (615320.565003208 7802223.65098645)
1982125,ESCOLA MUNICIPAL PREFEITO SOUZA LIMA,Municipal,31003051,RUA,DOS PARAGUAIOS,97,,Jardim Vitória,NORDESTE,POINT (616892.610480702 7804215.10563164)
1981835,CASA DA CRIANÇA SANTO ANTÔNIO,Creches Conveniadas,31365297,RUA,DAS VIOLAS,605,,Conjunto Califórnia I,NOROESTE,POINT (603783.202302083 7797030.70799495)
1983168,EMEI CASTELO DE CRATO,EMEIS,31365564,RUA,CASTELO DE CRATO,101,,Castelo,PAMPULHA,POINT (605249.964839605 7801724.75253579)
1983157,EMEI CAC HAVAI,EMEIS,31357871,AVENIDA,COSTA DO MARFIM,480,,Havaí,OESTE,POINT (607687.040612968 7792229.5752516)
1981957,ESCOLA MUNICIPAL PROFESSOR EDGAR DA MATTA MACHADO,Municipal,31283002,RUA,PENALVA,201,,Dom Silvério,NORDESTE,POINT (614667.708526919 7804308.72657536)
1981768,INSTITUTO TIA LÚCIA,Creches Conveniadas,31355941,RUA,JERIBA,188,,Olaria,BARREIRO,POINT (601796.366118969 7789389.45335018)
1983065,EMEI ELOS,EMEIS,31002607,RUA,MANOEL ALEXANDRINO,440,,Sao Paulo,NORDESTE,POINT (612579.275296234 7802915.0602521)
1982542,LAR-ESCOLA TEREZINHA DELAMARE,Creches Conveniadas,31308757,RUA,WENCESLAU BRAZ,107,,Copacabana,VENDA NOVA,POINT (606268.747148217 7806945.01996549)
1981735,ESCOLA MUNICIPAL GRACY VIANNA LAGE,Municipal,31003468,RUA,JOAO SOARES LEAL,23,,Jardim dos Comerciários,VENDA NOVA,POINT (607727.362791575 7811514.55984889)
1983180,EMEI COQUEIROS,EMEIS,31361771,RUA,ENEIDA,1465,,Coqueiros,NOROESTE,POINT (602449.659625005 7799423.64092039)
1982255,ESCOLA MUNICIPAL PADRE EDEIMAR MASSOTE,Municipal,31002810,RUA,ENEIDA,1485,,Coqueiros,NOROESTE,POINT (602400.390705337 7799466.74214726)
1982120,ESCOLA MUNICIPAL MINERVINA AUGUSTA,Municipal,31003662,RUA,DAVID CANABARRO,18,,Campo Alegre,NORTE,POINT (610266.068595886 7807008.32707951)
1983151,EMEI SOL NASCENTE,EMEIS,31357316,RUA,MARIA LETICIA,800,,Milionários,BARREIRO,POINT (605201.132949685 7790745.38735374)
1983140,EMEI VILA SÃO VICENTE,EMEIS,31357650,RUA,HUMAITA,1149,,Padre Eustáquio,NOROESTE,POINT (606405.619917686 7796953.22376664)
1982145,ESCOLA MUNICIPAL MARIA DA ASSUNCAO DE MARCO,Municipal,31231991,RUA,ANA HORTA,98,,Goiânia,NORDESTE,POINT (614730.121322395 7803693.05189416)
1982532,AMBJA II,Creches Conveniadas,31366099,RUA,OSORIO DE MORAIS,53,,Ouro Preto,PAMPULHA,POINT (606341.508478284 7801294.2201694)
1982203,ESCOLA MUNICIPAL IGNACIO DE ANDRADE MELO,Municipal,31205699,RUA,VIOLETA DE MELO,1005,,Jardim São José,PAMPULHA,POINT (604899.631898847 7799215.21334521)
1982098,CASA ESPÍRITA URBANO,Creches Conveniadas,31308552,RUA,VERA LUCIA PEREIRA,133,,Goiânia,NORDESTE,POINT (615181.342168115 7802021.55212309)
1982173,ESCOLA MUNICIPAL HILDA RABELLO MATTA,Municipal,31003484,RUA,JOVENTINA DA ROCHA,72,,Heliópolis,NORTE,POINT (611579.532642102 7805334.78772359)
1981816,ESCOLA MUNICIPAL MILTON CAMPOS,Municipal,31003646,RUA,JOVINO RODRIGUES PEGO,195,,Mantiqueira,VENDA NOVA,POINT (606339.051216684 7810764.5825046)
1983072,EMEI FLORAMAR,EMEIS,31361801,RUA,JOSE FERREIRA MAGALHAES,87,,Floramar,NORTE,POINT (611707.425687133 7806402.34042633)
1982089,CRECHE COMUNITÁRIA SOSSEGO DA MAMÃE,Creches Conveniadas,31282553,RUA,D,185,,Vila Maria,NORDESTE,POINT (616836.588214555 7804417.12451128)
1981852,CENTRO INFANTO JUVENIL CRESCER SORRINDO,Creches Conveniadas,31308927,RUA,PEPERI,975,,Nova Granada,OESTE,POINT (608134.146782384 7794152.13392036)
1983148,EMEI HELIÓPOLIS,EMEIS,31357804,RUA,DOS BENEDITINOS,220,,Heliópolis,NORTE,POINT (610843.566301154 7805571.42955583)
1981867,ESCOLA MUNICIPAL JOSE MARIA DOS MARES GUIA,Municipal,31223654,RUA,DOS BENEDITINOS,180,,Heliópolis,NORTE,POINT (610812.784564397 7805484.2273056)
1981810,ESCOLA MUNICIPAL ELISA BUZELIN,Municipal,31003611,RUA,JAIR AFONSO INACIO,277,,Piratininga,VENDA NOVA,POINT (606535.17037742 7809770.00494798)
1982191,CRECHE CASINHA DA VOVÓ,Creches Conveniadas,31281492,RUA,CESAR DACORSO FILHO,104,,Vale do Jatobá,BARREIRO,POINT (600821.929960981 7787225.89373647)
1983187,EMEI ENGENHO NOGUEIRA,EMEIS,31365572,RUA,ENGENHO DO MAR,10,,Engenho Nogueira,PAMPULHA,POINT (606598.951983049 7800125.88798003)
1983122,EMEI SÃO MARCOS,EMEIS,31362166,RUA,SANTO ALBERTO,10,,Fernão Dias,NORDESTE,POINT (613687.046756488 7802384.35827495)
1981911,ESCOLA MUNICIPAL BELO HORIZONTE,Municipal,31002593,AVENIDA,JOSE BONIFACIO,189,,São Cristóvão,NOROESTE,POINT (610175.908534353 7798851.50737651)
1981851,ESCOLA MUNICIPAL FRANCISCA ALVES,Municipal,31002682,AVENIDA,SANTA TEREZINHA,8,,Conjunto Lagoa,PAMPULHA,POINT (605029.388504688 7802820.20955869)
1983050,EMEI PARAÍSO,EMEIS,31357502,RUA,ITABIRITO,416,,Paraíso,LESTE,POINT (614608.124056036 7797206.55220237)
1981958,ESCOLA MUNICIPAL ANISIO TEIXEIRA,Municipal,31250651,RUA,BOLIVAR,10,,União,NORDESTE,POINT (612440.266853093 7801048.00028675)
