co_municipio,co_area,seq_equipe,co_profissional_sus,co_unidade,co_cbo,tp_sus_nao_sus,ind_vinculacao,co_microarea,dt_entrada,dt_desligamento,co_cnes_outraequipe,co_municipio_outraequipe,co_area_outraequipe,co_profissional_sus_compl,co_cbo_ch_compl,st_equipeminima,co_mun_atuacao,to_char_dt_atualizacao_dd_mm_yyyy,no_usuario,to_char_dt_atualizacao_origem_dd_mm_yyyy
310620,779,224138,3B1EBDEBB2966634,3106200022578,322245,S,10101,,19/11/2019,"",,,,"",,1,,20/11/2019,SONIA,
310620,779,224138,7C819297B2F98780,3106200022578,515105,S,10202,,21/03/2019,"",,,,"",,1,,26/03/2019,GERGETRB,
310620,779,224138,3FF9091ED942E312,3106200022578,515105,S,10202,,27/07/2020,"",,,,"",,1,,03/08/2020,SMSAS,
310620,780,224146,6E7C9A913073240E,3106200022578,223565,S,10301,,16/07/2019,"",,,,"",,1,,19/08/2019,SMSAS,
310620,780,224146,C769622632E299E6,3106200022578,515105,S,10202,,21/03/2019,"",,,,"",,1,,26/03/2019,GERGETRB,
310620,780,224146,72413DE44CFEBAA7,3106200022578,322250,S,10101,,11/10/2012,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,780,224146,3F9D1D4DB2F2CADA,3106200022578,515105,S,10202,,11/10/2012,"",,,,"",,1,,13/08/2015,PRPS001144,
310620,780,224146,71698A6F8D98A3D1,3106200022578,515105,S,10202,,01/09/2018,"",,,,"",,1,,12/09/2018,GERGETRB,
310620,780,224146,DD107C3EB3F3EEEE,3106200022578,515105,S,10202,,19/03/2013,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,780,224146,5E09775FF976C5E0,3106200022578,225170,S,10301,,27/12/2022,"",,,,"",,1,,28/12/2022,SMSAS,
310620,778,224103,B4C2E5010C3A6BE5,3106200022578,223565,S,10301,,25/08/2022,"",,,,"",,1,,26/08/2022,SMSAS,
310620,779,224138,35E66E56AC8BE147,3106200022578,225170,S,10301,,30/11/2022,"",,,,"",,1,,01/12/2022,SMSAS,
310620,778,224103,D7B05FE42E28225C,3106200022578,515105,S,10202,,27/07/2020,"",,,,"",,1,,12/11/2021,SMSAS,
310620,574,224154,E52EAB609C19F781,3106200022586,223565,S,10301,,29/11/2021,17/05/2022,,,,"",,1,,18/05/2022,SMSAS,
310620,1,1781626,05C39970C9AC2BD9,3106200022586,322430,S,10301,,29/12/2022,"",,,,"",,1,,29/12/2022,SMSAS,
310620,3,1781642,2ECAE61870FAE6CA,3106200022586,322425,S,10301,,25/10/2022,"",,,,"",,1,,26/10/2022,SMSAS,
310620,573,224197,944087DB00BA0336,3106200022586,322245,S,10101,,13/07/2021,"",,,,"",,1,,14/07/2021,SMSAS,
310620,785,224170,F8785FA08505E836,3106200022586,322250,S,10101,,06/10/2021,"",,,,"",,1,,07/10/2021,SMSAS,
310620,1,1781626,6A5C04C4C8D6B8F3,3106200022586,322425,S,10301,,26/07/2022,"",,,,"",,1,,29/07/2022,SMSAS,
310620,785,224170,07BF309B1AAE88B9,3106200022586,225170,S,10301,,23/08/2022,27/09/2022,,,,"",,1,,29/09/2022,SMSAS,
310620,573,224197,9DF43716FFE4F709,3106200022586,225170,S,10101,,09/03/2022,"",,,,"",,1,,15/03/2022,SMSAS,
310620,770,224200,47696A1C2FE5FEE9,3106200022586,225170,S,10101,,04/03/2022,"",,,,"",,1,,09/03/2022,SMSAS,
310620,574,224154,32A47998B5A1889B,3106200022586,223565,S,10101,,16/05/2022,"",,,,"",,1,,17/05/2022,SMSAS,
310620,2,1781634,D6C591FD99652E0C,3106200022586,223293,S,10101,,25/05/2020,"",,,,"",,1,,27/05/2020,SMSAS,
310620,3,1781642,E4649C89E454502C,3106200022586,223293,S,10101,,22/05/2020,"",,,,"",,1,,27/05/2020,SMSAS,
310620,903,224162,45F84C389E777FCC,3106200022586,322250,S,10101,,29/05/2015,"",,,,"",,1,,16/01/2020,SONIA,
310620,903,224162,70BDFB89FC001EC8,3106200022586,515105,S,10202,,29/05/2015,"",,,,"",,1,,29/05/2015,PRPS001144,
310620,903,224162,E6E29426C555786E,3106200022586,515105,S,10202,,29/05/2015,"",,,,"",,1,,29/05/2015,PRPS001144,
310620,903,224162,61CC5AB2F0FBA87D,3106200022586,225170,S,10101,,20/05/2022,"",,,,"",,1,,23/05/2022,SMSAS,
310620,903,224162,543F49A3B7C6AAF5,3106200022586,515105,S,10202,,29/05/2015,"",,,,"",,1,,29/05/2015,PRPS001144,
310620,903,224162,F3A92AB9421AB933,3106200022586,515105,S,10202,,29/05/2015,"",,,,"",,1,,29/05/2015,PRPS001144,
310620,903,224162,4DF43551766A809F,3106200022586,223565,S,10101,,29/05/2015,"",,,,"",,1,,29/05/2015,PRPS001144,
310620,573,224197,03D72A521BDF0749,3106200022586,515105,S,10202,,09/08/2017,"",,,,"",,1,,22/08/2017,PRPS001144,
310620,573,224197,3644BD97F56D68AD,3106200022586,515105,S,10202,,09/08/2017,"",,,,"",,1,,22/08/2017,PRPS001144,
310620,573,224197,B110BA861CC2DFE2,3106200022586,515105,S,10202,,09/08/2017,"",,,,"",,1,,22/08/2017,PRPS001144,
310620,573,224197,AAFCA0A65A280242,3106200022586,515105,S,10202,,01/08/2018,"",,,,"",,1,,06/08/2018,GERGETRB,
310620,573,224197,DBD959BC71536A3A,3106200022586,515105,S,10202,,09/08/2017,"",,,,"",,1,,22/08/2017,PRPS001144,
310620,574,224154,02A20397B167127B,3106200022586,515105,S,10202,,01/08/2018,"",,,,"",,1,,06/08/2018,GERGETRB,
310620,574,224154,AD64F8FB09E1ADC0,3106200022586,515105,S,10202,,12/08/2020,"",,,,"",,1,,17/08/2020,SMSAS,
310620,574,224154,9546664D1672F03C,3106200022586,515105,S,10202,,31/03/2014,"",,,,"",,1,,25/03/2015,PRPS001144,
310620,574,224154,578B11C4941F3F07,3106200022586,515105,S,10202,,31/03/2014,"",,,,"",,1,,25/03/2015,PRPS001144,
310620,574,224154,C23A107E85E5929B,3106200022586,225142,S,10101,,26/12/2016,"",,,,"",,1,,29/12/2016,PRPS001144,
310620,574,224154,1D2E344BEA76A6FA,3106200022586,322250,S,10101,,31/03/2014,"",,,,"",,1,,17/12/2019,SONIA,
310620,770,224200,01DB8607671D8898,3106200022586,515105,S,10202,,01/08/2018,"",,,,"",,1,,22/08/2018,GERGETRB,
310620,770,224200,566B5D5528B79FC9,3106200022586,515105,S,10202,,27/08/2012,"",,,,"",,1,,23/03/2015,PRPS001144,
310620,770,224200,3590A7ED7C8AF31A,3106200022586,223565,S,10101,,20/02/2013,"",,,,"",,1,,23/03/2015,PRPS001144,
310620,770,224200,6E8BF0916603BC16,3106200022586,515105,S,10202,,27/08/2012,"",,,,"",,1,,23/03/2015,PRPS001144,
310620,770,224200,1EE983E94E3DF17A,3106200022586,322250,S,10101,,27/08/2012,"",,,,"",,1,,23/03/2015,PRPS001144,
310620,770,224200,49E6B070C2B6A922,3106200022586,515105,S,10202,,27/08/2012,"",,,,"",,1,,22/08/2018,GERGETRB,
310620,785,224170,8A08BBA6A4C8CB2F,3106200022586,515105,S,10202,,02/09/2016,"",,,,"",,1,,21/09/2016,PRPS001144,
310620,785,224170,2C5070629766BADB,3106200022586,515105,S,10202,,07/06/2016,"",,,,"",,1,,14/06/2016,PRPS001144,
310620,785,224170,BAEB429A5AE99AF7,3106200022586,515105,S,10202,,07/06/2016,"",,,,"",,1,,14/06/2016,PRPS001144,
310620,785,224170,54C35D148DBFA212,3106200022586,223565,S,10101,,07/06/2016,"",,,,"",,1,,14/06/2016,PRPS001144,
310620,785,224170,F00922FD849CAF60,3106200022586,515105,S,10202,,07/06/2016,"",,,,"",,1,,14/06/2016,PRPS001144,
310620,1,1781626,C75FD0C2E0E10821,3106200022586,223208,S,10301,,12/08/2021,27/11/2022,,,,"",,1,,13/12/2022,SMSAS,
310620,2,1781634,3BC1B34915A7415E,3106200022586,322425,S,10301,,01/09/2022,"",,,,"",,1,,05/09/2022,SMSAS,
310620,573,224197,AA5D3DC92B6FF06A,3106200022586,223565,S,10101,,29/11/2021,"",,,,"",,1,,17/12/2021,SMSAS,
310620,576,224227,7AA7FA4B9FE965D1,3106200022594,225142,S,10101,,23/02/2022,"",,,,"",,1,,04/03/2022,SMSAS,
310620,1,224278,DEEBFF810768AE8D,3106200022594,223710,S,10101,,14/09/2022,"",,,,"",,1,,20/09/2022,SMSAS,
310620,3,1781375,4453404AD7EE973D,3106200022594,223293,S,10301,,18/04/2022,27/12/2022,,,,"",,1,,28/12/2022,SMSAS,
310620,576,224227,875356B321E4A693,3106200022594,515105,S,10202,,14/01/2022,"",,,,"",,1,,17/01/2022,SMSAS,
310620,576,224227,0D0477037E5F4FDD,3106200022594,223565,S,10101,,23/02/2022,"",,,,"",,1,,09/03/2022,SMSAS,
310620,576,224227,86AFCC1D0C1A64CA,3106200022594,322250,S,10101,,23/02/2022,"",,,,"",,1,,09/03/2022,SMSAS,
310620,828,224251,2E006D4B5BBFCB07,3106200022594,223565,S,10101,,04/03/2022,"",,,,"",,1,,09/03/2022,SMSAS,
310620,828,224251,DAC363767EE34B81,3106200022594,322250,S,10101,,04/03/2022,"",,,,"",,1,,09/03/2022,SMSAS,
310620,1,224278,8FF018587E54B96D,3106200022594,223405,S,10301,,12/03/2021,"",,,,"",,1,,29/03/2021,SMSAS,
310620,3,1781375,33D1B14C8B1C0676,3106200022594,322425,S,10301,,05/08/2022,"",,,,"",,1,,09/08/2022,SMSAS,
310620,2,1781367,EB61C27296F6BACB,3106200022594,223293,S,10301,,09/05/2022,"",,,,"",,1,,13/05/2022,SMSAS,
310620,3,1781375,DFFA7698CE8FA794,3106200022594,322425,S,10101,,25/05/2020,"",,,,"",,1,,26/05/2020,SMSAS,
310620,1,224278,01C57C6B5EA495B7,3106200022594,223605,S,10101,,01/08/2018,"",,,,"",,1,,27/08/2018,GERGETRB,
310620,1,224278,C9214A580908A7A7,3106200022594,224140,S,10101,,01/08/2018,"",,,,"",,1,,27/08/2018,GERGETRB,
310620,1,1781340,D97419A1FD145CCE,3106200022594,223293,S,10301,,14/12/2020,27/12/2022,,,,"",,1,,28/12/2022,SMSAS,
310620,576,224227,5E2E8E139FDEC3C7,3106200022594,515105,S,10202,,18/07/2018,"",,,,"",,1,,24/07/2018,GERGETRB,
310620,748,224219,6353E1A3AE3475CD,3106200022594,223565,S,10101,,10/03/2020,"",,,,"",,1,,11/03/2020,SONIA,
310620,748,224219,CB1D5B91B27EA4C4,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
310620,748,224219,B6840510B1B44E5A,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
310620,788,224243,26D75224C7ADC093,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
310620,788,224243,E4C3428ADB754E8D,3106200022594,225170,S,10301,,03/12/2018,"",,,,"",,1,,30/01/2020,SONIA,
310620,788,224243,80DC11F5188C2075,3106200022594,223565,S,10101,,08/11/2018,"",,,,"",,1,,09/11/2018,GERGETRB,
310620,788,224243,93B97269ACAB21C6,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
310620,788,224243,344BF4D9AA018922,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
310620,790,224286,620B86B482B06FFE,3106200022594,225170,S,10301,,28/12/2018,"",,,,"",,1,,30/01/2020,SONIA,
310620,790,224286,430A277998B26675,3106200022594,223565,S,10101,,17/10/2018,"",,,,"",,1,,22/10/2018,GERGETRB,
310620,790,224286,18721C6FB6CDFF08,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
310620,790,224286,DC48183CBDA666B4,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
310620,790,224286,BB6A1FC6C0BCE94B,3106200022594,322250,S,10101,,17/10/2018,"",,,,"",,1,,22/10/2018,GERGETRB,
310620,790,224286,A8EF3F5D863A1F85,3106200022594,515105,S,10202,,24/06/2020,"",,,,"",,1,,25/06/2020,SMSAS,
